Address,Latitude,Longitude
"BAY RD. ,MOBILE AL.",30.474305,-88.141022
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",32.67618,-115.48307
"Corner of Athol and Telescope, Trona",35.77417,-117.3714
"84 E. 'J' ST., CHULA VISTA",32.631242,-117.059088
"330A 12TH AVE., SAN DIEGO, CA. 92112",32.709224,-117.154841
"1100 PASEO INTERNATIONAL, OTAY MESA, CA",32.552164,-116.937772
"9 LE SAGE DR., GROVER CITY",35.12389,-120.63215
"NIPOMO REGIONAL PARK, NIPOMO, CA.",35.03146,-120.50103
 Center St,37.011894,-122.194413
"545 CENTRAL AVENUE, OXNARD, CA  93030",34.25239,-119.143182
"420 34th Street N.E.,Washington, DC 20019",38.895572,-76.958072
BALDWIN CO AIRPORT,33.153413,-83.23569
"STILESBORO, HWY. 113",34.103431,-84.91522
"Georgia Forestry Commision, 5645 Riggins Mill Road, Dry Branch, Georgia, 31020",32.805264,-83.543493
"2500 E. PRESIDENT STREET, Bd-A, SAVANNAH, GA, 31404",32.06848,-81.04942
"PUMPING STATION @ INTERSECTION OF W. LATHROP AND AUGUSTA AVE, SAVANNAH, GA, 31415",32.090779,-81.130222
"MCCAYSVILLE ELEM.SCHOOL MCCAYSVILLE,GA.",34.98567,-84.375193
"5041 ALABAMA HWY., ROME, GA 30165",34.2605,-85.3232
"GA. TECH., Ford ES&T Bldg, 311 Ferst St NW, Atlanta GA",33.77933,-84.39576
"945 East United Ave., Atlanta, Georgia, 30316",33.720742,-84.357316
TATE STREET,39.092836,-84.854951
WILSON AVENUE,38.776726,-85.407181
HONEYCREEK,37.95536,-87.0318
ROTH ROAD,37.902561,-87.671406
VILLAGE GREEN-ROUTE#108,44.54312,-70.545343
0.5 MILE E. OF HWY 87 & 0.25 N. OF OLD DIVIDE,46.267014,-108.455494
"NO CHEYENNE, MORNINGSTAR, COLSTRIP",45.668052,-106.519466
"NO CHEYENNE, GARFIELD PEAK, COLSTRIP",45.603053,-106.464744
"NO CHEYENNE, BADGER PEAK, COLSTRIP",45.648328,-106.557247
"BRIGANTINE WILDLIFE REFUGE,NACOTE CREEK",39.530256,-74.460281
LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,42.68075,-73.75733
200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083
IS 52    681 KELLY ST,40.816,-73.902
"STP,  Wright Park Drive,  DUNKIRK",42.49963,-79.31881
"SULLIVAN ST., WATER TREATMENT PLANT",42.11096,-76.80221
"TRAILER,185 DINGENS STREET (near WEISS ST.)",42.876907,-78.809526
"STP, 779 TWO MILE CREEK ROAD",42.99551,-78.90152
"Crumb Hill Road, Camp GEORGETOWN",42.73046,-75.78444
"TRAILER,WEST END OF FARMINGTON ROAD",43.165512,-77.554511
"FIRE HQ.BUILDING,ANDREWS & CHESTNUT STS.",43.161062,-77.603293
"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",40.74316,-73.58549
"PS 59, 228 E. 57TH STREET, MANHATTAN",40.75912,-73.96661
