Date,Year,Month,Day,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Latitude,Longitude
2022-01-01,2022,1,1,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.020353,0.029,10,27,0.35,0.6,17,,0.783333,1.3,17,,8.518182,18.5,17,17,37.9604,-122.356811
2022-01-01,2022,1,1,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.020353,0.029,10,27,0.35,0.6,17,,0.75,1.8,15,1,8.518182,18.5,17,17,37.9604,-122.356811
2022-01-01,2022,1,1,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.020353,0.029,10,27,0.329412,0.4,19,5,0.783333,1.3,17,,8.518182,18.5,17,17,37.9604,-122.356811
2022-01-01,2022,1,1,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.020353,0.029,10,27,0.329412,0.4,19,5,0.75,1.8,15,1,8.518182,18.5,17,17,37.9604,-122.356811
2022-01-02,2022,1,2,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.013294,0.023,8,21,0.395652,0.6,21,,1.042857,1.7,17,,10.1,20.8,22,19,37.9604,-122.356811
2022-01-02,2022,1,2,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.013294,0.023,8,21,0.395652,0.6,21,,1.026087,2.2,15,3,10.1,20.8,22,19,37.9604,-122.356811
2022-01-02,2022,1,2,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.013294,0.023,8,21,0.370833,0.5,0,6,1.042857,1.7,17,,10.1,20.8,22,19,37.9604,-122.356811
2022-01-02,2022,1,2,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.013294,0.023,8,21,0.370833,0.5,0,6,1.026087,2.2,15,3,10.1,20.8,22,19,37.9604,-122.356811
2022-01-03,2022,1,3,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.028588,0.03,11,28,0.313636,0.6,0,,0.9,1.1,8,,11.931818,25.8,1,24,37.9604,-122.356811
2022-01-03,2022,1,3,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.028588,0.03,11,28,0.313636,0.6,0,,0.959091,1.2,0,1,11.931818,25.8,1,24,37.9604,-122.356811
2022-01-03,2022,1,3,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,0.028588,0.03,11,28,0.391667,0.6,0,7,0.9,1.1,8,,11.931818,25.8,1,24,37.9604,-122.356811
